Metric,Value
design__instance__count,1590
design__instance__area,21290.419200
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,425
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.006219504866749048
power__switching__total,0.0013593609910458326
power__leakage__total,9.162470782086984e-09
power__total,0.007578874938189983
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,-2.041981
timing__setup__ws__corner:nom_tt_025C_1v80,-2.542317
timing__hold__tns__corner:nom_tt_025C_1v80,-603.804504
timing__setup__tns__corner:nom_tt_025C_1v80,-27.421911
timing__hold__wns__corner:nom_tt_025C_1v80,-2.041981
timing__setup__wns__corner:nom_tt_025C_1v80,-2.542317
timing__hold_vio__count__corner:nom_tt_025C_1v80,414
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.174971
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,20
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,0.088078
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,425
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,-2.041981
timing__setup__ws,-2.542317
timing__hold__tns,-603.804504
timing__setup__tns,-27.421911
timing__hold__wns,-2.041981
timing__setup__wns,-2.542317
timing__hold_vio__count,414
timing__hold_r2r__ws,0.174971
timing__hold_r2r_vio__count,0
timing__setup_vio__count,20
timing__setup_r2r__ws,0.088078
timing__setup_r2r_vio__count,0
